#TYPE=Extended
#OBSCODE=WJRA
#SOFTWARE=ASTAP, v2026.07.16
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#COMMENTS=CMAG ensemble using transformed Gaia magnitudes.
#
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.78967,10.448,0.0078,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.752,1.516,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79037,10.431,0.0077,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.767,1.509,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79108,10.418,0.0077,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.502,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79178,10.410,0.0076,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.741,1.495,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79249,10.417,0.0077,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.738,1.489,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79319,10.424,0.0077,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.482,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79389,10.453,0.0078,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.763,1.476,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79460,10.450,0.0078,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.469,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79530,10.471,0.0078,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.748,1.463,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79601,10.490,0.0079,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.736,1.457,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79671,10.516,0.0080,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.741,1.451,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79742,10.537,0.0081,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.732,1.445,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.79812,10.557,0.0082,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.754,1.439,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
