JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456998.84803,11.079,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85098,11.115,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85247,11.099,0.005,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85395,11.120,0.005,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85543,11.132,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85692,11.142,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85841,11.159,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.85989,11.180,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86137,11.185,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86286,11.207,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86433,11.227,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86581,11.243,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86729,11.267,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.86877,11.275,0.009,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87025,11.284,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87173,11.303,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87322,11.318,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87470,11.320,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87617,11.330,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87765,11.339,0.008,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.87913,11.340,0.007,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
2456998.88062,11.352,0.006,,V,SAH,,ENSEMBLE,,1964FZH,,0,,Z,,,,AE UMA,AAVSO,STD,,,,
