JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2455477.308715,11.193,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.740,14.260,,CY AQR,AAVSO,STD,,,,
2455477.309548,11.197,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.758,14.242,,CY AQR,AAVSO,STD,,,,
2455477.310382,11.183,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.752,14.248,,CY AQR,AAVSO,STD,,,,
2455477.311215,11.157,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.733,14.267,,CY AQR,AAVSO,STD,,,,
2455477.312049,11.125,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.714,14.286,,CY AQR,AAVSO,STD,,,,
2455477.312893,11.162,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.753,14.247,,CY AQR,AAVSO,STD,,,,
2455477.313727,11.142,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.743,14.257,,CY AQR,AAVSO,STD,,,,
2455477.314572,11.134,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.759,14.241,,CY AQR,AAVSO,STD,,,,
2455477.315417,11.132,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.768,14.232,,CY AQR,AAVSO,STD,,,,
2455477.316261,11.095,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.766,14.234,,CY AQR,AAVSO,STD,,,,
2455477.317118,11.057,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.758,14.242,,CY AQR,AAVSO,STD,,,,
2455477.317951,11.001,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.730,14.270,,CY AQR,AAVSO,STD,,,,
2455477.318785,10.961,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.751,14.249,,CY AQR,AAVSO,STD,,,,
2455477.319630,10.901,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.748,14.252,,CY AQR,AAVSO,STD,,,,
2455477.320475,10.827,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.754,14.246,,CY AQR,AAVSO,STD,,,,
2455477.321308,10.738,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.759,14.241,,CY AQR,AAVSO,STD,,,,
2455477.322141,10.615,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.721,14.279,,CY AQR,AAVSO,STD,,,,
2455477.322986,10.572,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.742,14.258,,CY AQR,AAVSO,STD,,,,
2455477.323843,10.569,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.764,14.236,,CY AQR,AAVSO,STD,,,,
2455477.324688,10.572,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.767,14.233,,CY AQR,AAVSO,STD,,,,
2455477.325521,10.557,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.768,14.232,,CY AQR,AAVSO,STD,,,,
2455477.326354,10.537,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.735,14.265,,CY AQR,AAVSO,STD,,,,
2455477.327188,10.575,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.759,14.241,,CY AQR,AAVSO,STD,,,,
2455477.328033,10.571,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.730,14.270,,CY AQR,AAVSO,STD,,,,
2455477.328866,10.619,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.759,14.241,,CY AQR,AAVSO,STD,,,,
2455477.329711,10.659,0.073,,CR,PBC,,117,143,3279IW,,0,,Z,11.775,14.225,,CY AQR,AAVSO,STD,,,,
