JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460887.219429,10.420,0.005,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.248,Z,-12.687,-13.432,,CY AQR,AAVSO,STD,,,,
2460887.219860,10.462,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.247,Z,-12.737,-13.432,,CY AQR,AAVSO,STD,,,,
2460887.221053,10.502,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.244,Z,-12.590,-13.223,,CY AQR,AAVSO,STD,,,,
2460887.222246,10.511,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.242,Z,-12.627,-13.211,,CY AQR,AAVSO,STD,,,,
2460887.222676,10.436,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.241,Z,-12.565,-13.284,,CY AQR,AAVSO,STD,,,,
2460887.223105,10.416,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.240,Z,-12.571,-13.333,,CY AQR,AAVSO,STD,,,,
2460887.223567,10.492,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.239,Z,-12.562,-13.329,,CY AQR,AAVSO,STD,,,,
2460887.224071,10.488,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.238,Z,-12.694,-13.400,,CY AQR,AAVSO,STD,,,,
2460887.224677,10.509,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.237,Z,-12.667,-13.451,,CY AQR,AAVSO,STD,,,,
2460887.225175,10.540,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.236,Z,-12.703,-13.417,,CY AQR,AAVSO,STD,,,,
2460887.225603,10.543,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.235,Z,-12.703,-13.406,,CY AQR,AAVSO,STD,,,,
2460887.226588,10.567,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.233,Z,-12.697,-13.416,,CY AQR,AAVSO,STD,,,,
