JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457094.87449,10.217,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.187,Z,,11.665,,DY HER,AAVSO,STD,0,,,
2457094.87519,10.221,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.186,Z,,11.668,,DY HER,AAVSO,STD,0,,,
2457094.87588,10.213,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.185,Z,,11.671,,DY HER,AAVSO,STD,0,,,
2457094.87659,10.216,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.184,Z,,11.665,,DY HER,AAVSO,STD,0,,,
2457094.87728,10.211,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.183,Z,,11.661,,DY HER,AAVSO,STD,0,,,
2457094.87797,10.211,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.182,Z,,11.667,,DY HER,AAVSO,STD,0,,,
2457094.87868,10.215,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.181,Z,,11.663,,DY HER,AAVSO,STD,0,,,
2457094.87938,10.215,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.180,Z,,11.661,,DY HER,AAVSO,STD,0,,,
2457094.88007,10.216,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.179,Z,,11.655,,DY HER,AAVSO,STD,0,,,
2457094.88076,10.222,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.178,Z,,11.665,,DY HER,AAVSO,STD,0,,,
2457094.88146,10.217,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.178,Z,,11.660,,DY HER,AAVSO,STD,0,,,
2457094.88215,10.231,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.177,Z,,11.660,,DY HER,AAVSO,STD,0,,,
2457094.88286,10.237,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.176,Z,,11.669,,DY HER,AAVSO,STD,0,,,
2457094.88355,10.228,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.175,Z,,11.659,,DY HER,AAVSO,STD,0,,,
2457094.88425,10.242,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.174,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.88495,10.242,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.173,Z,,11.667,,DY HER,AAVSO,STD,0,,,
2457094.88565,10.254,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.173,Z,,11.675,,DY HER,AAVSO,STD,0,,,
2457094.88634,10.262,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.172,Z,,11.671,,DY HER,AAVSO,STD,0,,,
2457094.88704,10.263,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.171,Z,,11.658,,DY HER,AAVSO,STD,0,,,
2457094.88774,10.271,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.170,Z,,11.672,,DY HER,AAVSO,STD,0,,,
2457094.88844,10.273,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.170,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.88913,10.277,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.169,Z,,11.665,,DY HER,AAVSO,STD,0,,,
2457094.88984,10.285,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.169,Z,,11.665,,DY HER,AAVSO,STD,0,,,
2457094.89053,10.288,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.168,Z,,11.666,,DY HER,AAVSO,STD,0,,,
2457094.89123,10.298,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.167,Z,,11.660,,DY HER,AAVSO,STD,0,,,
2457094.89193,10.302,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.167,Z,,11.651,,DY HER,AAVSO,STD,0,,,
2457094.89263,10.310,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.166,Z,,11.661,,DY HER,AAVSO,STD,0,,,
2457094.89332,10.318,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.166,Z,,11.660,,DY HER,AAVSO,STD,0,,,
2457094.89403,10.323,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.165,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.89472,10.328,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.165,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.89542,10.328,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.164,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.89611,10.345,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.164,Z,,11.669,,DY HER,AAVSO,STD,0,,,
2457094.89682,10.343,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.163,Z,,11.659,,DY HER,AAVSO,STD,0,,,
2457094.89751,10.355,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.163,Z,,11.674,,DY HER,AAVSO,STD,0,,,
2457094.89821,10.353,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.162,Z,,11.663,,DY HER,AAVSO,STD,0,,,
2457094.89890,10.367,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.162,Z,,11.662,,DY HER,AAVSO,STD,0,,,
2457094.89959,10.365,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.161,Z,,11.669,,DY HER,AAVSO,STD,0,,,
2457094.90030,10.370,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.161,Z,,11.666,,DY HER,AAVSO,STD,0,,,
2457094.90100,10.374,0.002,,V,MZK,,ENSEMBLE,116,150314,,0,1.161,Z,,11.666,,DY HER,AAVSO,STD,0,,,
