JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456987.66348,10.509,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.088,Z,-7.860,-6.728,,DY PEG,AAVSO,STD,2,,,
2456987.66497,10.504,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.091,Z,-7.841,-6.702,,DY PEG,AAVSO,STD,2,,,
2456987.66647,10.517,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.094,Z,-7.862,-6.708,,DY PEG,AAVSO,STD,2,,,
2456987.66796,10.513,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.097,Z,-7.845,-6.703,,DY PEG,AAVSO,STD,2,,,
2456987.66947,10.503,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.100,Z,-7.846,-6.702,,DY PEG,AAVSO,STD,2,,,
2456987.67096,10.502,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.103,Z,-7.848,-6.708,,DY PEG,AAVSO,STD,2,,,
2456987.67247,10.484,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.107,Z,-7.844,-6.699,,DY PEG,AAVSO,STD,2,,,
2456987.67396,10.477,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.110,Z,-7.852,-6.706,,DY PEG,AAVSO,STD,2,,,
2456987.67545,10.448,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.114,Z,-7.826,-6.682,,DY PEG,AAVSO,STD,2,,,
2456987.67692,10.426,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.117,Z,-7.847,-6.698,,DY PEG,AAVSO,STD,2,,,
2456987.67841,10.399,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.121,Z,-7.832,-6.695,,DY PEG,AAVSO,STD,2,,,
2456987.67990,10.360,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.125,Z,-7.822,-6.692,,DY PEG,AAVSO,STD,2,,,
2456987.68138,10.319,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.129,Z,-7.856,-6.711,,DY PEG,AAVSO,STD,2,,,
2456987.68285,10.252,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.133,Z,-7.860,-6.717,,DY PEG,AAVSO,STD,2,,,
2456987.68434,10.185,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.137,Z,-7.857,-6.706,,DY PEG,AAVSO,STD,2,,,
2456987.68584,10.119,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.142,Z,-7.843,-6.690,,DY PEG,AAVSO,STD,2,,,
2456987.68731,10.063,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.146,Z,-7.865,-6.707,,DY PEG,AAVSO,STD,2,,,
2456987.68880,10.030,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.151,Z,-7.846,-6.691,,DY PEG,AAVSO,STD,2,,,
2456987.69027,10.002,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.155,Z,-7.841,-6.692,,DY PEG,AAVSO,STD,2,,,
2456987.69176,9.997,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.160,Z,-7.842,-6.689,,DY PEG,AAVSO,STD,2,,,
2456987.69326,9.996,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.165,Z,-7.842,-6.680,,DY PEG,AAVSO,STD,2,,,
2456987.69473,10.012,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.170,Z,-7.851,-6.693,,DY PEG,AAVSO,STD,2,,,
2456987.69622,10.025,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.175,Z,-7.848,-6.691,,DY PEG,AAVSO,STD,2,,,
2456987.69771,10.061,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.180,Z,-7.861,-6.707,,DY PEG,AAVSO,STD,2,,,
2456987.69920,10.097,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.186,Z,-7.843,-6.697,,DY PEG,AAVSO,STD,2,,,
2456987.70069,10.124,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.191,Z,-7.858,-6.694,,DY PEG,AAVSO,STD,2,,,
2456987.70219,10.159,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.197,Z,-7.841,-6.678,,DY PEG,AAVSO,STD,2,,,
2456987.70367,10.186,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.203,Z,-7.837,-6.674,,DY PEG,AAVSO,STD,2,,,
2456987.70516,10.217,0.002,,V,DMIA,,108,120,13719BIMA,,0,1.209,Z,-7.841,-6.679,,DY PEG,AAVSO,STD,2,,,
