JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457322.36852,10.689,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.191,,GP AND,VVS,STD,,,,
2457322.36870,10.710,0.011,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.164,,GP AND,VVS,STD,,,,
2457322.36889,10.708,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.166,,GP AND,VVS,STD,,,,
2457322.36907,10.710,0.007,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.164,,GP AND,VVS,STD,,,,
2457322.36925,10.709,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.163,,GP AND,VVS,STD,,,,
2457322.36943,10.732,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.195,,GP AND,VVS,STD,,,,
2457322.36962,10.720,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.189,,GP AND,VVS,STD,,,,
2457322.36980,10.723,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.185,,GP AND,VVS,STD,,,,
2457322.36999,10.730,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.178,,GP AND,VVS,STD,,,,
2457322.37017,10.728,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.170,,GP AND,VVS,STD,,,,
2457322.37036,10.715,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.165,,GP AND,VVS,STD,,,,
2457322.37054,10.731,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.173,,GP AND,VVS,STD,,,,
2457322.37073,10.740,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.166,,GP AND,VVS,STD,,,,
2457322.37091,10.732,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.178,,GP AND,VVS,STD,,,,
2457322.37110,10.717,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.167,,GP AND,VVS,STD,,,,
2457322.37128,10.738,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.182,,GP AND,VVS,STD,,,,
2457322.37147,10.724,0.007,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.182,,GP AND,VVS,STD,,,,
2457322.37166,10.727,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.190,,GP AND,VVS,STD,,,,
2457322.37184,10.733,0.011,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.175,,GP AND,VVS,STD,,,,
2457322.37203,10.743,0.011,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.19,Z,,18.165,,GP AND,VVS,STD,,,,
2457322.37221,10.737,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.168,,GP AND,VVS,STD,,,,
2457322.37240,10.745,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.178,,GP AND,VVS,STD,,,,
2457322.37258,10.740,0.007,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.172,,GP AND,VVS,STD,,,,
2457322.37277,10.720,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.156,,GP AND,VVS,STD,,,,
2457322.37295,10.744,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.161,,GP AND,VVS,STD,,,,
2457322.37314,10.743,0.007,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.174,,GP AND,VVS,STD,,,,
2457322.37332,10.742,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.163,,GP AND,VVS,STD,,,,
2457322.37351,10.758,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.152,,GP AND,VVS,STD,,,,
2457322.37369,10.736,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.172,,GP AND,VVS,STD,,,,
2457322.37388,10.768,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.142,,GP AND,VVS,STD,,,,
2457322.37406,10.750,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.145,,GP AND,VVS,STD,,,,
2457322.37425,10.744,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.129,,GP AND,VVS,STD,,,,
2457322.37475,10.738,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.174,,GP AND,VVS,STD,,,,
2457322.37505,10.763,0.011,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.175,,GP AND,VVS,STD,,,,
2457322.37535,10.784,0.011,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.198,,GP AND,VVS,STD,,,,
2457322.37565,10.773,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.154,,GP AND,VVS,STD,,,,
2457322.37595,10.760,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.186,,GP AND,VVS,STD,,,,
2457322.37625,10.766,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.157,,GP AND,VVS,STD,,,,
2457322.37655,10.776,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.162,,GP AND,VVS,STD,,,,
2457322.37685,10.774,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.187,,GP AND,VVS,STD,,,,
2457322.37715,10.755,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.166,,GP AND,VVS,STD,,,,
2457322.37745,10.780,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.18,Z,,18.175,,GP AND,VVS,STD,,,,
2457322.37775,10.783,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.182,,GP AND,VVS,STD,,,,
2457322.37806,10.763,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.172,,GP AND,VVS,STD,,,,
2457322.37836,10.765,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.167,,GP AND,VVS,STD,,,,
2457322.37866,10.770,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.171,,GP AND,VVS,STD,,,,
2457322.37896,10.789,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.187,,GP AND,VVS,STD,,,,
2457322.37925,10.781,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.139,,GP AND,VVS,STD,,,,
2457322.37955,10.779,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.170,,GP AND,VVS,STD,,,,
2457322.37985,10.789,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.160,,GP AND,VVS,STD,,,,
2457322.38015,10.786,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.184,,GP AND,VVS,STD,,,,
2457322.38045,10.818,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.177,,GP AND,VVS,STD,,,,
2457322.38075,10.800,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.179,,GP AND,VVS,STD,,,,
2457322.38105,10.813,0.010,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.164,,GP AND,VVS,STD,,,,
2457322.38135,10.782,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.175,,GP AND,VVS,STD,,,,
2457322.38166,10.785,0.009,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.142,,GP AND,VVS,STD,,,,
2457322.38196,10.811,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.155,,GP AND,VVS,STD,,,,
2457322.38226,10.799,0.008,,V,DUBF,,ENSEMBLE,UCAC4 566-001897,X15524P,STANDARD MAG:  K = 11.528,0,1.17,Z,,18.141,,GP AND,VVS,STD,,,,
