JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458780.571644,7.292,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-485,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.481,,SX PHE,AAVSO,STD,,,,
2458780.572778,7.305,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-486,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.445,,SX PHE,AAVSO,STD,,,,
2458780.574942,7.354,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-487,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.495,,SX PHE,AAVSO,STD,,,,
2458780.581933,7.367,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-488,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.482,,SX PHE,AAVSO,STD,,,,
2458780.585058,7.324,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-489,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.454,,SX PHE,AAVSO,STD,,,,
2458780.585764,7.339,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-490,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.498,,SX PHE,AAVSO,STD,,,,
2458780.586887,7.301,0.007,,TG,SCMA,,ENSEMBLE,000-BKF-491,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.452,,SX PHE,AAVSO,STD,,,,
2458780.588553,7.361,0.006,,TG,SCMA,,ENSEMBLE,000-BKF-492,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.586,,SX PHE,AAVSO,STD,,,,
2458780.598206,7.168,0.008,,TG,SCMA,,ENSEMBLE,000-BKF-493,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.530,,SX PHE,AAVSO,STD,,,,
2458780.599537,6.993,0.007,,TG,SCMA,,ENSEMBLE,000-BKF-494,X24847EE,CANON EOS 700D | LENS 100MM F/2.3 | ISO 200 | TEAM OBSERVERS BLAS - CASELLI – SILVA,0,,Z,,8.511,,SX PHE,AAVSO,STD,,,,
