JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457130.44782,11.083,0.009,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.81,Z,17.060,17.119,,XX CYG,VVS,STD,,,,
2457130.44833,11.103,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.80,Z,17.020,17.114,,XX CYG,VVS,STD,,,,
2457130.44883,11.152,0.010,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.80,Z,17.204,17.321,,XX CYG,VVS,STD,,,,
2457130.44933,11.069,0.010,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.80,Z,17.332,17.375,,XX CYG,VVS,STD,,,,
2457130.44983,11.061,0.010,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.79,Z,17.295,17.317,,XX CYG,VVS,STD,,,,
2457130.45032,11.085,0.009,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.79,Z,17.149,17.192,,XX CYG,VVS,STD,,,,
2457130.45082,11.170,0.009,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.79,Z,17.116,17.237,,XX CYG,VVS,STD,,,,
2457130.45133,11.105,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.78,Z,17.006,17.011,,XX CYG,VVS,STD,,,,
2457130.45183,11.115,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.78,Z,17.011,17.053,,XX CYG,VVS,STD,,,,
2457130.45234,11.140,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.78,Z,16.959,16.992,,XX CYG,VVS,STD,,,,
2457130.45284,11.139,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.77,Z,16.791,16.837,,XX CYG,VVS,STD,,,,
2457130.45334,11.153,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.77,Z,16.795,16.854,,XX CYG,VVS,STD,,,,
2457130.45384,11.173,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.77,Z,16.768,16.865,,XX CYG,VVS,STD,,,,
2457130.45434,11.158,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.76,Z,17.010,17.048,,XX CYG,VVS,STD,,,,
2457130.45484,11.196,0.008,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.76,Z,16.987,17.089,,XX CYG,VVS,STD,,,,
2457130.45534,11.186,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.76,Z,16.817,16.884,,XX CYG,VVS,STD,,,,
2457130.45584,11.174,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.76,Z,16.848,16.899,,XX CYG,VVS,STD,,,,
2457130.45634,11.205,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.75,Z,16.845,16.914,,XX CYG,VVS,STD,,,,
2457130.45684,11.211,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.75,Z,16.779,16.844,,XX CYG,VVS,STD,,,,
2457130.45734,11.223,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.75,Z,16.778,16.867,,XX CYG,VVS,STD,,,,
2457130.45784,11.224,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.74,Z,16.752,16.839,,XX CYG,VVS,STD,,,,
2457130.45834,11.210,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.74,Z,16.725,16.766,,XX CYG,VVS,STD,,,,
2457130.45884,11.238,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.74,Z,16.797,16.858,,XX CYG,VVS,STD,,,,
2457130.45935,11.231,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.73,Z,16.728,16.802,,XX CYG,VVS,STD,,,,
2457130.45985,11.211,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.73,Z,16.832,16.855,,XX CYG,VVS,STD,,,,
2457130.46035,11.228,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.73,Z,16.860,16.903,,XX CYG,VVS,STD,,,,
2457130.46084,11.289,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.73,Z,16.722,16.815,,XX CYG,VVS,STD,,,,
2457130.46134,11.257,0.006,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.72,Z,16.686,16.745,,XX CYG,VVS,STD,,,,
2457130.46185,11.274,0.007,,V,VMAE,,GSC 3948-2230,GSC 3948-2431,,STANDARD MAG: C = 11.260  K = 11.380,0,1.72,Z,16.786,16.880,,XX CYG,VVS,STD,,,,
