JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457118.33032,10.398,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.33,Z,17.779,17.564,,YZ BOO,VVS,STD,,,,
2457118.33110,10.416,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.32,Z,17.721,17.545,,YZ BOO,VVS,STD,,,,
2457118.33186,10.417,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.30,Z,17.764,17.569,,YZ BOO,VVS,STD,,,,
2457118.33265,10.407,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.29,Z,17.799,17.592,,YZ BOO,VVS,STD,,,,
2457118.33343,10.420,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.28,Z,17.795,17.601,,YZ BOO,VVS,STD,,,,
2457118.33419,10.405,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.26,Z,17.794,17.601,,YZ BOO,VVS,STD,,,,
2457118.33497,10.410,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.25,Z,17.796,17.599,,YZ BOO,VVS,STD,,,,
2457118.33574,10.398,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.24,Z,17.808,17.606,,YZ BOO,VVS,STD,,,,
2457118.33652,10.397,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.23,Z,17.780,17.598,,YZ BOO,VVS,STD,,,,
2457118.33729,10.379,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.22,Z,17.732,17.546,,YZ BOO,VVS,STD,,,,
2457118.33807,10.363,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.20,Z,17.706,17.529,,YZ BOO,VVS,STD,,,,
2457118.33883,10.367,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.19,Z,17.700,17.504,,YZ BOO,VVS,STD,,,,
2457118.33961,10.362,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.18,Z,17.672,17.483,,YZ BOO,VVS,STD,,,,
2457118.34038,10.380,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.17,Z,17.647,17.470,,YZ BOO,VVS,STD,,,,
2457118.34116,10.355,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.16,Z,17.657,17.456,,YZ BOO,VVS,STD,,,,
2457118.34193,10.351,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.14,Z,17.636,17.449,,YZ BOO,VVS,STD,,,,
2457118.34271,10.364,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.13,Z,17.657,17.474,,YZ BOO,VVS,STD,,,,
2457118.34347,10.365,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.12,Z,17.625,17.443,,YZ BOO,VVS,STD,,,,
2457118.34426,10.356,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.11,Z,17.621,17.456,,YZ BOO,VVS,STD,,,,
2457118.34503,10.350,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.10,Z,17.685,17.488,,YZ BOO,VVS,STD,,,,
2457118.34580,10.336,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.09,Z,17.643,17.478,,YZ BOO,VVS,STD,,,,
2457118.34657,10.325,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.08,Z,17.604,17.426,,YZ BOO,VVS,STD,,,,
2457118.34735,10.329,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.07,Z,17.596,17.428,,YZ BOO,VVS,STD,,,,
2457118.34813,10.327,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.06,Z,17.617,17.462,,YZ BOO,VVS,STD,,,,
2457118.34890,10.309,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.05,Z,17.632,17.479,,YZ BOO,VVS,STD,,,,
2457118.34968,10.261,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.04,Z,17.677,17.495,,YZ BOO,VVS,STD,,,,
2457118.35045,10.256,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.03,Z,17.667,17.506,,YZ BOO,VVS,STD,,,,
2457118.35122,10.239,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.02,Z,17.680,17.514,,YZ BOO,VVS,STD,,,,
2457118.35199,10.228,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.01,Z,17.650,17.482,,YZ BOO,VVS,STD,,,,
2457118.35277,10.204,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.00,Z,17.629,17.462,,YZ BOO,VVS,STD,,,,
2457118.35385,10.158,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.98,Z,17.621,17.433,,YZ BOO,VVS,STD,,,,
2457118.35462,10.139,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.97,Z,17.577,17.408,,YZ BOO,VVS,STD,,,,
2457118.35539,10.123,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.96,Z,17.557,17.379,,YZ BOO,VVS,STD,,,,
2457118.35617,10.095,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.95,Z,17.564,17.365,,YZ BOO,VVS,STD,,,,
2457118.35694,10.081,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.94,Z,17.539,17.356,,YZ BOO,VVS,STD,,,,
2457118.35772,10.088,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.94,Z,17.501,17.351,,YZ BOO,VVS,STD,,,,
2457118.35850,10.041,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.93,Z,17.525,17.341,,YZ BOO,VVS,STD,,,,
