JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458314.92004,9.211,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.475,-14.986,,ZZ MIC,VSS,STD,,,,
2458314.92225,9.232,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.510,-14.996,,ZZ MIC,VSS,STD,,,,
2458314.92446,9.236,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.516,-15.027,,ZZ MIC,VSS,STD,,,,
2458314.92667,9.259,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.528,-15.034,,ZZ MIC,VSS,STD,,,,
2458314.92887,9.294,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.527,-15.030,,ZZ MIC,VSS,STD,,,,
2458314.93108,9.324,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.516,-15.031,,ZZ MIC,VSS,STD,,,,
2458314.93329,9.347,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.535,-15.028,,ZZ MIC,VSS,STD,,,,
2458314.93550,9.394,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.547,-15.059,,ZZ MIC,VSS,STD,,,,
2458314.93770,9.404,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.549,-15.050,,ZZ MIC,VSS,STD,,,,
2458314.93991,9.446,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.556,-15.059,,ZZ MIC,VSS,STD,,,,
2458314.94212,9.477,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.577,-15.075,,ZZ MIC,VSS,STD,,,,
2458314.94433,9.456,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.559,-15.078,,ZZ MIC,VSS,STD,,,,
2458314.94654,9.494,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.563,-15.085,,ZZ MIC,VSS,STD,,,,
2458314.94875,9.523,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.584,-15.096,,ZZ MIC,VSS,STD,,,,
2458314.95096,9.513,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.578,-15.086,,ZZ MIC,VSS,STD,,,,
2458314.95317,9.533,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.586,-15.103,,ZZ MIC,VSS,STD,,,,
2458314.95538,9.559,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.600,-15.098,,ZZ MIC,VSS,STD,,,,
2458314.95759,9.553,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.594,-15.110,,ZZ MIC,VSS,STD,,,,
2458314.95980,9.552,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.588,-15.116,,ZZ MIC,VSS,STD,,,,
2458314.96200,9.580,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.615,-15.121,,ZZ MIC,VSS,STD,,,,
2458314.96422,9.560,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.605,-15.125,,ZZ MIC,VSS,STD,,,,
2458314.96644,9.540,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.601,-15.136,,ZZ MIC,VSS,STD,,,,
2458314.96865,9.557,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.628,-15.137,,ZZ MIC,VSS,STD,,,,
2458314.97086,9.525,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.617,-15.134,,ZZ MIC,VSS,STD,,,,
